County,MedianHouseholdIncome,TotalPopulation,PopAbove20,Citizens,MedianAge,PctMale,PctWhite,PctCollegePlusEdu,PctUninsured,PctForeignBorn,PctNonCitizen,PctDisability,PctUnemployed,PctSSI,PctOASDI,MedianHousingCosts,PctReligious,WoodardAmericanNation,LandAreaSqMiles,NCHS_UrbanRural2013,NCHS_UrbanRural2006,NCHS_UrbanRural1990,State,FoundryCounty,MexicanBorderCounty,,,,Male,Female,Age0_4,Age5_9,Age10_14,Age15_19,Age20_24,Age25_34,Age35_44,Age45_54,Age55_59,Age60_64,Age65_74,Age75_84,Age85,White,Black,AmericanIndianAlaskaNative,Asian,NativeHawaiianPacificIslander,OtherRace,Hispanic,SimpsonDiversityIndex,Population25Plus,EdK8,Ed9_12,EdHS,EdCollNoDegree,EdAssocDegree,EdBachelorDegree,EdGraduateDegree,MedianHousingCosts,Uninsured,ForeignBorn,NonCitizen,Disability,TotalEmp2015,WoodardAmericanNation,LandAreaSqMiles,Employment,LaborForce,Unemployment,TotalSSI,AgedSSI,BlindDisabledSSI,OASDI,SSIPayments,NCHS_UrbanRural2013,NCHS_UrbanRural2006,NCHS_UrbanRural1990,TotalReligiousAdherents,EvangelicalAdherents,CatholicAdherents,MormonAdherents,State,FoundryCounty,MexicanBorderCounty
1021,41627,43819,32278,42040,38.8,49.3%,84.90%,14.40%,15.90%,5.30%,4.10%,16.80%,5.60%,3.20%,1.20%,616,0.695771241,Deep South,692.8537204,Large fringe metro,Large fringe metro,"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,21619,22200,2820,2821,3158,2742,2806,5404,6041,5843,2884,2758,3886,1958,698,37188,4689,287,202,0,1827,3350,0.278863367,29472,2391,3973,11562,5229,2166,2673,1478,616,6964,2333,1779,7342,14555,Deep South,692.8537204,18624,19720,1096,1411,63,1348,525,754000,Large fringe metro,Large fringe metro,"Without a city of 10,00 or more (nonmetropolitan)",30488,26608,709,247,1,FALSE,FALSE
1023,33536,13395,10296,13386,44.9,47.6%,56.50%,13.70%,13.30%,0.20%,0.10%,24.60%,8.90%,6.20%,2.50%,440,0.725718552,Deep South,913.5003556,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,6382,7013,662,697,916,824,762,1324,1542,1985,1026,944,1571,810,332,7574,5873,70,2,0,2,48,0.497517783,9534,777,1473,3512,1937,709,701,425,440,1784,21,9,3296,5255,Deep South,913.5003556,4015,4405,390,833,77,756,337,441000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",9721,6080,60,157,1,FALSE,FALSE
1025,32011,25070,18728,25002,41.1,47.2%,53.70%,13.60%,15.00%,0.50%,0.30%,15.30%,10.80%,5.80%,2.40%,511,0.816513761,Deep South,1238.46489,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,11834,13236,1354,1386,1855,1747,1600,2683,3065,3641,1746,1602,2497,1397,497,13471,11412,47,90,96,34,85,0.507176004,17128,813,2526,7515,2854,1203,1440,777,511,3759,121,68,3830,12104,Deep South,1238.46489,7148,8017,869,1462,92,1370,591,750000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",20470,13634,11,95,1,FALSE,FALSE
1027,35327,13537,10167,13257,43.8,49.3%,83.20%,12.50%,14.10%,2.10%,2.10%,17.60%,6.00%,3.80%,1.40%,487,0.761246953,Deep South,603.9612501,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,6671,6866,681,741,975,973,632,1285,1730,2054,896,1013,1439,855,263,11265,2102,156,12,0,214,430,0.304949325,9535,1009,1368,3460,2004,780,552,362,487,1908,290,280,2386,5793,Deep South,603.9612501,5434,5779,345,518,26,492,193,270000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",10305,8899,186,NA,1,FALSE,FALSE
1029,38056,15002,11224,14848,41.3,48.9%,95.60%,11.60%,13.50%,1.50%,1.00%,20.00%,6.30%,3.50%,1.20%,557,0.76409812,Deep South,560.1044796,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,7334,7668,883,948,1071,876,804,1637,1981,2171,1042,934,1575,776,304,14347,643,185,54,0,107,345,0.122854255,10420,680,1910,3988,2105,480,721,536,557,2030,231,154,2994,4151,Deep South,560.1044796,5692,6076,384,530,34,496,185,292000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",11463,10435,NA,NA,1,FALSE,FALSE
1031,46729,50884,37560,49625,38.8,49.5%,79.50%,22.60%,11.20%,4.20%,2.50%,16.90%,6.00%,2.90%,1.10%,668,0.648946624,Deep South,678.9859313,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",1,FALSE,FALSE,,,,25174,25710,3207,3187,3582,3348,3096,6494,6882,6960,3342,2938,4416,2651,781,40435,9344,1143,1059,21,426,3276,0.372462462,34464,1901,3390,10151,7542,3257,5250,2973,668,5674,2115,1259,8588,21883,Deep South,678.9859313,19614,20865,1251,1461,80,1381,584,784000,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",33021,25889,1550,805,1,FALSE,FALSE
1033,40576,54444,41263,53727,42.2,48.3%,81.90%,18.20%,11.00%,1.90%,1.30%,19.90%,6.70%,3.90%,1.50%,628,0.694383219,Greater Appalachia,592.6199081,Small metro,Small metro,Small metro,1,FALSE,FALSE,,,,26303,28141,3059,3190,3398,3534,3255,6356,6595,7592,3878,3754,5569,3031,1233,44589,9291,707,392,39,965,1321,0.337580065,38008,1727,4409,13131,8844,2834,4299,2764,628,6010,1013,717,10819,31687,Greater Appalachia,592.6199081,22352,23951,1599,2098,95,2003,823,1091000,Small metro,Small metro,Small metro,37805,29759,1415,NA,1,FALSE,FALSE
1035,24900,12865,9728,12776,43.7,48.0%,53.10%,10.60%,20.70%,1.00%,0.70%,24.60%,8.60%,5.80%,2.20%,397,0.586863583,Deep South,850.1568219,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,6176,6689,750,795,796,796,823,1279,1393,1795,1027,894,1467,759,291,6837,5997,363,6,23,2,210,0.526569187,8905,658,1293,3962,1632,628,400,332,397,2666,131,89,3166,5333,Deep South,850.1568219,4332,4738,406,746,49,697,282,413000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",7550,4297,NA,NA,1,FALSE,FALSE
1037,31212,11027,8689,10848,45.1,50.6%,69.20%,10.90%,15.20%,1.80%,1.60%,21.60%,6.40%,4.30%,1.60%,555,0.557540582,Deep South,650.9263588,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,5579,5448,534,535,576,693,667,1022,1450,1743,1035,803,1192,571,206,7636,3582,18,0,0,0,237,0.43650818,8022,722,1358,3017,1725,521,408,271,555,1671,197,179,2378,2351,Deep South,650.9263588,4209,4498,289,472,22,450,181,265000,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",6148,4180,NA,NA,1,FALSE,FALSE
1039,36444,37886,28744,37752,42.6,48.4%,85.60%,16.70%,13.10%,1.00%,0.40%,21.20%,6.80%,3.90%,1.60%,550,0.617272871,Deep South,1030.456261,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,18339,19547,2219,2171,2536,2216,2274,4172,4414,5191,2547,2727,4037,2467,915,32418,5086,430,208,23,239,580,0.269710573,26470,1974,3369,8890,5901,2544,2550,1242,550,4957,394,134,8025,17888,Deep South,1030.456261,14859,15944,1085,1470,80,1390,597,718000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",23386,20052,291,269,1,FALSE,FALSE
